,detid,LZANR,NAME,DET_IND,DET_NAM,dtctr_t,dtctr_l,geometry,lon,lat
296,4132013,,,,,Doppelschleife,lane3,11.543369 48.176197,11.543369,48.176197
297,4132014,,,,,Doppelschleife,lane4,11.543348 48.176266,11.543348,48.176266
298,4132021,,,,,Doppelschleife,lane1,11.543359 48.176662,11.543359,48.176662
299,4132022,,,,,Doppelschleife,lane2,11.543283 48.176582,11.543283,48.176582
300,4132023,,,,,Doppelschleife,lane3,11.543283 48.176517,11.543283,48.176517
301,4132024,,,,,Doppelschleife,lane4,11.543359 48.176376,11.543359,48.176376
302,4132025,,,,,Doppelschleife,lane5,11.543359 48.176323,11.543359,48.176323
303,4133011,,,,,Doppelschleife,lane1,11.595683 48.141064,11.595683,48.141064
304,4133012,,,,,Doppelschleife,lane2,11.595791 48.14105,11.595791,48.14105
305,4133021,,,,,Doppelschleife,lane1,11.596145 48.142086,11.596145,48.142086
306,4133022,,,,,,,11.596273 48.14206,11.596273,48.14206
307,4134011,,,,,null,lane1,11.568904 48.121822,11.568904,48.121822
308,4134021,,,,,null,lane1,11.569065 48.121906,11.569065,48.121906
309,4134022,,,,,null,lane2,11.569033 48.121887,11.569033,48.121887
310,4134023,,,,,null,lane3,11.56899 48.12188,11.56899,48.12188
311,4135011,,,,,Doppelschleife,lane1,11.621325 48.186176,11.621325,48.186176
312,4135021,,,,,Doppelschleife,lane1,11.621475 48.186275,11.621475,48.186275
313,4136011,,,,,Doppelschleife,lane1,11.553884 48.100266,11.553884,48.100266
314,4136021,,,,,Doppelschleife,lane1,11.553916 48.100353,11.553916,48.100353
315,4137011,,,,,Doppelschleife,lane1,11.527405 48.172825,11.527405,48.172825
316,4137012,,,,,Doppelschleife,lane2,11.527437 48.172867,11.527437,48.172867
317,4137013,,,,,Doppelschleife,lane3,11.527491 48.17292,11.527491,48.17292
318,4137021,,,,,Doppelschleife,lane1,11.527619 48.173046,11.527619,48.173046
319,4137022,,,,,Doppelschleife,lane2,11.527555 48.172997,11.527555,48.172997
320,4138011,,,,,Doppelschleife,lane1,11.501055 48.103275,11.501055,48.103275
321,4138012,,,,,Doppelschleife,lane2,11.501184 48.10325,11.501184,48.10325
322,4138013,,,,,Doppelschleife,lane3,11.501291 48.10309,11.501291,48.10309
323,4138014,,,,,Doppelschleife,lane4,11.501398 48.10312,11.501398,48.10312
324,4138021,,,,,Doppelschleife,lane1,11.502792 48.10365,11.502792,48.10365
325,4138022,,,,,Doppelschleife,lane2,11.502686 48.10362,11.502686,48.10362
326,4138023,,,,,Doppelschleife,lane3,11.501698 48.103333,11.501698,48.103333
327,4138024,,,,,Doppelschleife,lane4,11.50157 48.103317,11.50157,48.103317
328,4139011,,,,,null,lane1,11.539614 48.115017,11.539614,48.115017
329,4139021,,,,,null,lane1,11.539807 48.11496,11.539807,48.11496
330,4139022,,,,,null,lane2,11.539732 48.114975,11.539732,48.114975
331,4140011,,,,,Doppelschleife,lane1,11.572445 48.107388,11.572445,48.107388
332,4140012,,,,,Doppelschleife,lane2,11.572509 48.10736,11.572509,48.10736
333,4140021,,,,,Doppelschleife,lane3,11.572713 48.107258,11.572713,48.107258
334,4140022,,,,,Doppelschleife,lane4,11.572638 48.10729,11.572638,48.10729
335,4141011,,,,,null,lane1,11.625885 48.129196,11.625885,48.129196
336,4141012,,,,,null,lane2,11.625906 48.12925,11.625906,48.12925
337,4141021,,,,,null,lane1,11.625959 48.129383,11.625959,48.129383
